student_id,name,gender,grade,subject,marks,attendance_%,study_hours_per_week,test_preparation,parental_education
STU1094,Aarav Singh,Female,10,Computer Science,67.9,67.5,5.5,Occasional,Bachelor's
STU1037,Arjun Kumar,Female,10,Mathematics,58.4,70.4,2.6,None,Master's
STU1008,Ishaan Kapoor,Male,9,Social Studies,97.8,83.0,4.3,None,High School
STU1288,Dev Nair,Male,9,Mathematics,100.0,100.0,5.0,Occasional,High School
STU1012,Ishaan Kumar,Male,11,Mathematics,97.3,99.6,4.6,None,Master's
STU1266,Krishna Joshi,Female,11,Mathematics,97.1,87.1,1.4,None,Master's
STU1106,Priya Iyer,Female,11,Mathematics,79.1,100.0,4.2,Occasional,High School
STU1081,Zara Verma,Female,11,Computer Science,82.6,94.4,1.4,None,Bachelor's
STU1179,Rohan Kapoor,Male,11,Computer Science,67.2,67.9,6.0,None,High School
STU1072,Priya Verma,Female,9,Social Studies,41.5,87.7,2.6,Regular,High School
STU1056,Dev Gupta,Female,11,Computer Science,85.7,90.9,2.6,Occasional,Bachelor's
STU1023,Vihaan Rao,Male,10,English,91.8,94.8,5.0,Regular,Bachelor's
STU1146,Vihaan Reddy,Female,9,Science,79.4,73.8,1.9,Occasional,PhD
STU1040,Neha Sharma,Male,12,Computer Science,98.6,69.3,5.9,Occasional,Bachelor's
STU1051,Priya Kumar,Female,11,Computer Science,94.4,83.9,1.4,Regular,Master's
STU1136,Aryan Gupta,Female,9,Social Studies,90.0,85.1,4.4,Occasional,Master's
STU1127,Meera Nair,Female,9,Mathematics,97.7,95.9,3.1,Regular,Bachelor's
STU1196,Rohan Kumar,Male,12,Science,73.9,85.9,1.1,Regular,High School
STU1146,Vihaan Reddy,Female,9,Computer Science,71.3,73.8,1.9,Occasional,PhD
STU1090,Tanvi Desai,Male,10,Computer Science,87.4,78.4,2.9,None,High School
STU1138,Vivaan Reddy,Male,12,Social Studies,72.9,74.9,4.5,Regular,High School
STU1253,Saanvi Singh,Female,11,Computer Science,77.3,82.7,3.0,Regular,Master's
STU1178,Ishaan Kapoor,Female,10,English,63.0,83.1,1.5,Regular,High School
STU1226,Riya Patel,Female,10,Social Studies,85.2,80.9,4.3,Regular,Bachelor's
STU1073,Sai Singh,Male,12,English,100.0,89.9,4.3,Regular,Bachelor's
STU1271,Saanvi Kumar,Male,10,English,68.8,92.5,3.8,Regular,High School
STU1108,Aadhya Reddy,Female,9,Mathematics,68.5,,2.1,Occasional,High School
STU1102,Aadhya Iyer,Female,9,Mathematics,63.6,72.8,2.5,None,Master's
STU1077,Reyansh Chopra,Male,9,Computer Science,86.3,93.8,2.6,Occasional,High School
STU1212,Neha Reddy,Female,9,English,81.9,77.5,5.5,Occasional,Bachelor's
STU1243,Aarohi Singh,Male,11,Science,99.9,71.4,1.8,None,Master's
STU1139,Aryan Sharma,Male,12,Computer Science,76.2,74.2,6.2,Regular,Bachelor's
STU1255,Simran Joshi,Male,11,Social Studies,66.1,95.2,4.3,Regular,High School
STU1057,Kabir Kapoor,Male,11,Mathematics,70.6,65.0,1.7,None,Master's
STU1014,Krishna Joshi,Male,10,Science,85.3,99.1,6.0,Regular,Bachelor's
STU1117,Myra Mehta,Female,11,English,81.4,75.1,3.5,None,High School
STU1261,Aarohi Reddy,Female,9,Science,53.5,65.1,1.4,Occasional,Bachelor's
STU1174,Vihaan Rao,Female,10,English,83.1,76.3,5.4,Regular,Bachelor's
STU1209,Dev Desai,Female,11,Computer Science,80.3,86.4,4.6,None,High School
STU1127,Meera Nair,Female,9,Social Studies,100.0,95.9,3.1,Regular,Bachelor's
STU1192,Ira Joshi,Female,11,Mathematics,91.6,80.7,0.8,Occasional,High School
STU1070,Sai Nair,Male,10,Mathematics,80.6,78.2,6.1,Occasional,PhD
STU1199,Vivaan Kapoor,Male,9,Mathematics,74.6,66.6,1.1,None,Bachelor's
STU1116,Aarohi Desai,Female,12,Science,85.0,83.6,3.1,Regular,High School
STU1022,Simran Iyer,Female,12,Science,84.5,100.0,2.4,Occasional,Bachelor's
STU1099,Ishaan Desai,Female,12,Social Studies,100.0,81.7,4.2,Regular,Bachelor's
STU1142,Yash Kapoor,Female,10,English,90.2,94.0,2.7,Regular,High School
STU1211,Aarohi Gupta,Male,10,Science,76.2,84.5,1.2,Occasional,Bachelor's
STU1023,Vihaan Rao,Male,10,Science,92.4,94.8,5.0,Regular,Bachelor's
STU1172,Yash Singh,Male,12,Science,77.4,68.6,5.4,None,Master's
STU1020,Myra Kumar,Female,9,Science,90.7,97.4,7.3,Occasional,High School
STU1185,Ira Patel,Female,12,Mathematics,77.4,93.1,4.2,None,Bachelor's
STU1264,Yash Reddy,Female,9,Mathematics,100.0,87.9,6.9,Regular,High School
STU1179,Rohan Kapoor,Male,11,Mathematics,77.0,67.9,6.0,None,High School
STU1144,Aarohi Kapoor,Female,11,Mathematics,86.9,100.0,4.1,Occasional,High School
STU1133,Kiara Singh,Female,9,Science,100.0,100.0,5.0,None,Bachelor's
STU1291,Saanvi Iyer,Female,9,English,80.6,89.0,5.6,None,Master's
STU1090,Tanvi Desai,Male,10,English,83.2,78.4,2.9,None,High School
STU1260,Tanvi Singh,Male,12,Computer Science,81.9,91.5,5.2,Occasional,Master's
STU1092,Anika Sharma,Female,12,Social Studies,84.7,88.3,2.8,Regular,Master's
STU1153,Diya Verma,Female,11,Computer Science,83.6,80.7,5.4,Occasional,Bachelor's
STU1294,Neha Mehta,Male,11,Science,55.1,71.1,0.8,None,Master's
STU1050,Krishna Patel,Male,10,English,75.7,71.5,4.0,Occasional,PhD
STU1151,Saanvi Rao,Female,10,Science,92.3,81.4,4.0,None,High School
STU1179,Rohan Kapoor,Male,11,Social Studies,84.2,67.9,6.0,None,High School
STU1025,Kiara Nair,Male,11,English,87.9,80.9,4.6,Occasional,Bachelor's
STU1012,Ishaan Kumar,Male,11,Social Studies,91.3,99.6,4.6,None,Master's
